                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 2.5857,                 3.3156,                 2.5978,                0.48553,                0.40989,                0.41022,                0.23517,                 3.1014,                 3.9538,                 3.0645,               0.006106,               0.006106,               0.006106
                     61,                 2.5637,                 3.2743,                 2.5842,                0.49428,                0.39989,                0.40147,                0.23427,                 3.0711,                 3.9905,                 3.0808,                0.00604,                0.00604,                0.00604
                     62,                  2.534,                  3.288,                 2.5774,                0.49873,                0.38019,                0.38881,                0.22071,                 3.1454,                 4.0129,                 3.1954,               0.005974,               0.005974,               0.005974
                     63,                 2.5473,                 3.2867,                 2.5833,                0.47146,                0.38401,                0.38713,                0.22042,                  3.083,                 4.0025,                 3.0815,               0.005908,               0.005908,               0.005908
                     64,                 2.5496,                 3.2108,                 2.5667,                0.51142,                0.40144,                0.40501,                0.23205,                 3.0367,                 3.9269,                 3.0632,               0.005842,               0.005842,               0.005842
                     65,                 2.5398,                 3.2218,                 2.5688,                0.52323,                0.40193,                0.40529,                0.23873,                 3.0828,                 3.9777,                 3.0903,               0.005776,               0.005776,               0.005776
                     66,                 2.5305,                 3.1743,                 2.5509,                0.49372,                0.39916,                0.39324,                0.22762,                 3.0475,                  3.987,                 3.0854,                0.00571,                0.00571,                0.00571
                     67,                 2.5027,                 3.1701,                 2.5417,                0.47012,                0.39928,                0.38644,                 0.2263,                 3.1004,                 3.9969,                 3.1237,               0.005644,               0.005644,               0.005644
                     68,                 2.4855,                  3.101,                 2.5329,                0.45645,                0.40291,                0.39348,                0.22676,                 3.0926,                 3.9981,                  3.069,               0.005578,               0.005578,               0.005578
                     69,                 2.4926,                 3.1504,                 2.5512,                0.46219,                0.40361,                0.40278,                0.23227,                 3.0679,                 3.9017,                 3.1045,               0.005512,               0.005512,               0.005512
                     70,                 2.5078,                 3.0826,                  2.537,                0.46395,                0.40881,                0.40697,                0.23415,                 3.1048,                 3.8972,                 3.0823,               0.005446,               0.005446,               0.005446
                     71,                 2.4906,                 3.0845,                 2.5334,                 0.4985,                0.40565,                0.41137,                0.23857,                 3.0789,                 3.8773,                 3.1008,                0.00538,                0.00538,                0.00538
                     72,                 2.4974,                 3.0621,                 2.5294,                0.50037,                0.38511,                0.39524,                0.22435,                 3.1059,                 3.9165,                 3.0915,               0.005314,               0.005314,               0.005314
                     73,                 2.4657,                 3.0141,                  2.504,                0.46064,                0.40104,                0.39633,                0.22554,                 3.0501,                 3.9307,                 3.0532,               0.005248,               0.005248,               0.005248
                     74,                 2.4677,                 2.9846,                 2.5164,                0.46515,                0.39969,                0.39803,                0.23173,                 3.0714,                 3.9376,                  3.074,               0.005182,               0.005182,               0.005182
                     75,                 2.4471,                 2.9993,                 2.5119,                0.48129,                0.38719,                0.38128,                0.22083,                 3.0583,                 4.0756,                  3.072,               0.005116,               0.005116,               0.005116
                     76,                 2.4463,                 3.0082,                  2.501,                0.51343,                0.40937,                0.40518,                0.23777,                 3.0361,                 3.9607,                 3.0269,                0.00505,                0.00505,                0.00505
