                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 3.2331,                 1.7831,                 2.2655,                0.65922,                0.59033,                0.61615,                0.28457,                 3.9694,                 2.3516,                 2.7627,               0.004984,               0.004984,               0.004984
                     78,                  3.171,                 1.7648,                 2.2455,                0.64133,                0.65225,                0.63764,                0.29248,                 3.8781,                 2.3342,                 2.6737,               0.004918,               0.004918,               0.004918
                     79,                 3.1475,                 1.7757,                 2.2415,                0.64522,                0.63176,                   0.63,                0.28926,                 3.9352,                 2.3138,                 2.7016,               0.004852,               0.004852,               0.004852
                     80,                 3.1914,                 1.8006,                  2.262,                 0.6289,                0.63298,                0.62115,                0.28765,                 3.9131,                  2.311,                 2.7117,               0.004786,               0.004786,               0.004786
                     81,                 3.1287,                 1.7297,                 2.2487,                0.63924,                0.63174,                0.62896,                0.28909,                 3.8973,                 2.3557,                 2.6901,                0.00472,                0.00472,                0.00472
                     82,                 3.1056,                 1.7172,                 2.2173,                0.60216,                0.66335,                0.63538,                0.29194,                 3.9536,                 2.3136,                 2.7332,               0.004654,               0.004654,               0.004654
                     83,                 3.1194,                 1.7311,                 2.2379,                0.65898,                0.63237,                0.64103,                0.29518,                 3.9692,                 2.3037,                 2.7265,               0.004588,               0.004588,               0.004588
                     84,                 3.0901,                  1.701,                 2.2267,                0.64725,                0.63269,                  0.628,                0.29394,                 3.9195,                 2.3144,                 2.7513,               0.004522,               0.004522,               0.004522
                     85,                 3.0752,                 1.6858,                 2.2234,                0.63417,                 0.6512,                0.62838,                0.29582,                 3.9122,                 2.3216,                 2.7406,               0.004456,               0.004456,               0.004456
                     86,                 3.0635,                 1.7137,                 2.1895,                0.62672,                0.62508,                0.62714,                0.29121,                 3.9148,                 2.3344,                 2.7313,                0.00439,                0.00439,                0.00439
                     87,                 3.0659,                 1.6906,                 2.2203,                0.62582,                0.62152,                0.62203,                0.28644,                 3.8816,                 2.3312,                 2.7308,               0.004324,               0.004324,               0.004324
                     88,                 3.0088,                 1.6356,                 2.2035,                0.62704,                0.63907,                0.62241,                0.28825,                  3.965,                 2.3196,                 2.7817,               0.004258,               0.004258,               0.004258
                     89,                  3.042,                 1.6814,                   2.18,                0.63952,                0.63109,                0.62982,                 0.2918,                 3.9931,                 2.3614,                 2.7909,               0.004192,               0.004192,               0.004192
                     90,                 3.0093,                 1.6521,                 2.1848,                0.63359,                0.65771,                0.63552,                0.29509,                 3.9186,                 2.3447,                 2.7463,               0.004126,               0.004126,               0.004126
                     91,                 2.9905,                 1.6223,                  2.184,                0.62368,                0.64963,                0.62542,                0.28709,                 3.9371,                 2.3473,                 2.7799,                0.00406,                0.00406,                0.00406
                     92,                 3.0144,                 1.6231,                 2.1797,                0.64908,                0.63918,                0.63284,                0.29098,                 3.9121,                 2.3201,                 2.7649,               0.003994,               0.003994,               0.003994
                     93,                 2.9925,                 1.6394,                   2.17,                0.65291,                0.62846,                0.61224,                0.28354,                 3.9821,                 2.3666,                 2.7877,               0.003928,               0.003928,               0.003928
                     94,                  3.005,                 1.6334,                 2.1994,                 0.6098,                0.64815,                 0.6255,                0.28491,                  4.026,                 2.3316,                  2.812,               0.003862,               0.003862,               0.003862
                     95,                 3.0121,                 1.6244,                 2.1905,                0.61753,                0.63643,                0.61541,                0.28559,                 4.0264,                 2.3637,                 2.8308,               0.003796,               0.003796,               0.003796
                     96,                  2.984,                 1.6179,                  2.197,                0.65933,                0.64795,                0.63787,                0.28956,                 3.9734,                  2.312,                 2.8158,                0.00373,                0.00373,                0.00373
                     97,                 2.9261,                  1.564,                  2.161,                0.66651,                0.63305,                0.62492,                0.29059,                 4.0299,                 2.3589,                 2.8487,               0.003664,               0.003664,               0.003664
                     98,                 2.9439,                  1.569,                 2.1697,                0.62859,                0.66524,                0.63844,                0.29856,                 4.0048,                 2.3603,                 2.8453,               0.003598,               0.003598,               0.003598
                     99,                 2.9555,                 1.6025,                 2.1727,                0.67207,                0.64093,                0.63745,                0.29427,                  3.979,                 2.3134,                 2.8318,               0.003532,               0.003532,               0.003532
                    100,                 2.8921,                  1.547,                 2.1366,                0.68356,                0.60742,                0.63826,                0.29278,                 4.0136,                 2.3185,                 2.8354,               0.003466,               0.003466,               0.003466
                    101,                 2.8618,                 1.5403,                 2.1225,                0.66916,                0.62669,                0.62664,                0.28451,                 4.0693,                 2.3819,                 2.8779,                 0.0034,                 0.0034,                 0.0034
                    102,                 2.9012,                 1.5641,                  2.156,                0.68255,                0.62817,                0.63506,                0.29836,                 4.0466,                 2.3029,                 2.8343,               0.003334,               0.003334,               0.003334
                    103,                 2.9585,                  1.582,                 2.1482,                0.64192,                0.66456,                0.64451,                0.29651,                 4.0145,                 2.3387,                 2.8354,               0.003268,               0.003268,               0.003268
                    104,                 2.8581,                 1.5668,                 2.1433,                0.65291,                0.65523,                0.63386,                0.28929,                 4.0648,                 2.3205,                 2.8339,               0.003202,               0.003202,               0.003202
                    105,                 2.8434,                 1.5277,                  2.132,                0.70273,                0.60058,                0.62998,                0.28359,                 4.0537,                 2.3402,                 2.8579,               0.003136,               0.003136,               0.003136
                    106,                 2.8524,                 1.5456,                  2.105,                0.62356,                0.66517,                0.63195,                0.29157,                 4.0582,                 2.3201,                 2.8463,                0.00307,                0.00307,                0.00307
                    107,                 2.8367,                 1.5266,                 2.1174,                0.69726,                0.62461,                0.64495,                0.29619,                 4.0245,                 2.3397,                 2.8583,               0.003004,               0.003004,               0.003004
                    108,                 2.7722,                 1.4912,                 2.1183,                 0.6715,                0.62995,                0.63472,                0.28917,                 4.0616,                 2.4106,                  2.869,               0.002938,               0.002938,               0.002938
                    109,                 2.8106,                 1.5331,                 2.1166,                0.70109,                0.64478,                0.64001,                0.28815,                 4.0527,                  2.348,                 2.8596,               0.002872,               0.002872,               0.002872
                    110,                 2.7907,                 1.5123,                 2.1217,                0.66563,                0.63858,                0.63193,                0.28895,                 4.0689,                 2.3481,                 2.8687,               0.002806,               0.002806,               0.002806
                    111,                 2.7934,                 1.5197,                 2.1109,                0.66045,                0.62964,                0.62199,                  0.286,                 4.0692,                 2.3491,                 2.8543,                0.00274,                0.00274,                0.00274
                    112,                 2.7896,                 1.5098,                 2.1026,                0.67759,                0.65224,                0.63136,                0.28438,                  4.065,                 2.3928,                 2.8927,               0.002674,               0.002674,               0.002674
